First Name,Last Name,Party,Region,latitude,longitude,Province,Municipality.City,Position,Year,fat
ANICETO,ABAOAG,LAKAS-CMD,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,DANGLAS,COUNCILOR,2007,0
ANICETO,ABAOAG,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,DANGLAS,COUNCILOR,2010,0
ALFONSO,ABAOAG,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,1
ANICETO,ABAOAG,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,1
PATROCINIO,ABAYA,KAMPI,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,PROVINCIAL BOARD MEMBER,2007,0
PATROCINIO,ABAYA,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LAGANGILANG,MAYOR,2010,0
PATROCINIO ,ABAYA,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,MAYOR,2013,0
PATROCINIO JR.,ABAYA,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,MAYOR,2016,0
SOTERO,ABBAGO,LAKAS-CMD,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,DANGLAS,MAYOR,2004,0
ARNULFO,ABORJE,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LAGANGILANG,COUNCILOR,2010,0
ARNULFO,ABORJE,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,0
CARMELO,ACNAM,LAKAS-CMD,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,DANGLAS,COUNCILOR,2004,0
CARMELO,ACNAM,LAKAS-CMD,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,DANGLAS,COUNCILOR,2007,0
CARMELO,ACNAM,NUP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
DANILO,ADAME,KAMPI,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BANGUED,COUNCILOR,2007,0
DANILO,ADAME,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BANGUED,COUNCILOR,2010,0
DANILO,ADAME,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,0
CONCESO,ADRIATICO,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LA PAZ,COUNCILOR,2010,0
CONCESO,ADRIATICO,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,0
CONCESO,ADRIATICO,NUP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,1
REYNALDO,ADRIATICO,NUP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,1
ROMEO,ADVINCULA,NPC,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
ANTHONY,AFOS,KAMPI,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LA PAZ,COUNCILOR,2007,0
ANTHONY,AFOS,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LA PAZ,COUNCILOR,2010,0
ANTHONY,AFOS,PDSP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LA PAZ,COUNCILOR,2004,0
CAMILO,AGABAS,LAKAS-CMD,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,MANABO,COUNCILOR,2004,0
JAIME,AGAID,IND.,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,SALLAPADAN,COUNCILOR,2010,0
JENZY JAMES,AGAID,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,0
JENZY JAMES,AGAID,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
MARIO,AGBUSAC,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
PETER,AGCALAO,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,VILLAVICIOSA,COUNCILOR,2007,0
DAVID,AGCALIS,LAKAS-CMD,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,DANGLAS,COUNCILOR,2004,0
DAVID,AGCALIS,LAKAS-CMD,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,DANGLAS,COUNCILOR,2007,0
DAVID,AGCALIS,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,DANGLAS,COUNCILOR,2010,0
ELPIDIO,AGMATA,IND,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,0
RHODA,AGOSTO,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,TUBO,COUNCILOR,2010,0
FAUSTINO,AGPAD,PDSP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BUCLOC,COUNCILOR,2007,0
DOMINGO,AGPAOAN,PDSP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BUCLOC,COUNCILOR,2004,0
ARNOLD,AGSALLONG,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,0
ARNOLD,AGSALLONG,NP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BOLINEY,COUNCILOR,2010,0
ARNOLD,AGSALLONG,PMP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BOLINEY,COUNCILOR,2007,0
MARIANO,AGWAKING,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,0
MARIANO,AGWAKING,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
REYNALDO,ALAGAO,INDEPENDENT,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,TAYUM,VICE MAYOR,2004,0
REYNALDO,ALAGAO,KAMPI,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,TAYUM,VICE MAYOR,2007,0
REYNALDO,ALAGAO,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,TAYUM,VICE MAYOR,2010,0
JULIO,ALBAYALDE,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,DANGLAS,COUNCILOR,2010,0
JULIO,ALBAYALDE,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,0
JULIO,ALBAYALDE,NUP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
MA. ELENA,ALCARTADO,LAKAS-CMD,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,DANGLAS,COUNCILOR,2004,0
NESTOR,ALCARTADO,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,0
NESTOR,ALCARTADO,NUP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
NORBERTO SR.,ALDACA,NUP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
EDUARDO,ALEJANDRO,IND,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
DAYAWEN,ALEJANDRO,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LAGAYAN,COUNCILOR,2004,0
DAYAWEN,ALEJANDRO,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LAGAYAN,COUNCILOR,2007,0
GENARO,ALITA,LAKAS-CMD,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,DANGLAS,COUNCILOR,2007,0
GENARO,ALITA,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,DANGLAS,COUNCILOR,2010,0
GENARO,ALITA,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,0
RUDY,AL-LAO,INDEPENDENT,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LICUAN-BAAY (LICUAN),COUNCILOR,2004,0
RUDY,AL-LAO,PDSP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LICUAN-BAAY (LICUAN),COUNCILOR,2007,0
FERDINAND,ALLEN,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LAGAYAN,COUNCILOR,2004,0
FERDINAND,ALLEN,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LAGAYAN,COUNCILOR,2007,0
DAVID,ALUNDAY,PDSP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,MALIBCONG,COUNCILOR,2004,0
RAFAEL,ALVIS,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LAGANGILANG,COUNCILOR,2010,0
RAFAEL,ALVIS,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,0
RAFAEL,ALVIS,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
BYRONE,ALZATE,AKSYON,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,PROVINCIAL BOARD MEMBER,2013,0
ANACLETO,ALZATE,IND,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,1
BETZAIDA,ALZATE,KAMPI,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BANGUED,VICE MAYOR,2007,1
FIDES DEBBIE,ALZATE,KAMPI,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BANGUED,COUNCILOR,2007,1
SERAFIN,ALZATE,KAMPI,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,PROVINCIAL BOARD MEMBER,2007,1
